DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT
28/06/2023,28/06/2023 00:00,"עין גדי 4, באר שבע",עין גדי 4,38122-15-42,דירה בבית קומות,4,תשיעית,95.4,970000,,,1990,,9,11085436980,1,38122-15,FALSE,
28/06/2023,28/06/2023 00:00,"שאול המלך 93, באר שבע",שאול המלך 93,38094-6-16,דירה בבית קומות,3,רביעית,62.7,745000,,,1970,,4,11084369310,1,38094-6,FALSE,58% ב 8.5 שנים
28/06/2023,28/06/2023 00:00,"לח""י 46, באר שבע","לח""י 46",38100-25-12,דירה בבית קומות,4,שלישית,77.7,630000,,,1970,,3,11085127200,1,38100-25,FALSE,26% ב 2 שנים
28/06/2023,28/06/2023 00:00,"אביגדור המאירי 6, באר שבע",אביגדור המאירי 6,38138-73-30,דירה בבית קומות,4,שביעית,77.8,860000,,,1994,,8,11085139170,1,38138-73,FALSE,52% ב 10.4 שנים
28/06/2023,28/06/2023 00:00,"מבצע יונתן 22, באר שבע",מבצע יונתן 22,38108-43-3,דירה בבית קומות,6,קרקע וראשונה,102.7,1730000,,,1983,,,11084375250,1,38108-43,FALSE,112% ב 10 שנים
28/06/2023,28/06/2023 00:00,"יותם 6, באר שבע",יותם 6,38108-83-9,דירה בבית קומות,3,רביעית,64.2,685000,,,1980,,4,11087421750,1,38108-83,FALSE,
28/06/2023,28/06/2023 00:00,"אביגיל 37, באר שבע",אביגיל 37,38168-45-1,קוטג' דו משפחתי,3,ראשונה,60,1500000,,,2000,,1,11086578180,1,38168-45,FALSE,
28/06/2023,28/06/2023 00:00,"ישראל רוקח 9, באר שבע",ישראל רוקח 9,38130-56-12,דירה בבית קומות,4,שלישית,80,155000,,,1993,,5,11084298030,1,38130-56,FALSE,
28/06/2023,28/06/2023 00:00,"ברנרד והרמן צונדק 42, באר שבע",ברנרד והרמן צונדק 42,38161-249-31,דירת גן,5,קרקע,125,1865000,,,1995,,2,11086003620,1,38161-249,FALSE,52% ב 10 שנים
28/06/2023,28/06/2023 00:00,,,38490-52-31,דירה בבית קומות,4,רביעית,107,1630000,,,2022,,,11084407110,2,38490-52,FALSE,
28/06/2023,28/06/2023 00:00,,,38491-69-31,דירה בבית קומות,4,רביעית,110,1564000,,,2021,,,11085428790,2,38491-69,FALSE,
28/06/2023,28/06/2023 00:00,,,38491-19-2,,4,שלישית,106,1585000,1,,,,,11164599641,2,38491-19,FALSE,
28/06/2023,28/06/2023 00:00,,,38491-22-16,דירה בבית קומות,4,שמינית,111,1600000,,,2024,,,11085328620,2,38491-22,FALSE,
27/06/2023,27/06/2023 00:00,"המעפילים 4, באר שבע",המעפילים 4,38031-20-9,חנות,,ראשונה,74,600000,,,1960,,2,11086924860,1,38031-20,FALSE,
27/06/2023,27/06/2023 00:00,"רמב""ם 60, באר שבע","רמב""ם 60",38035-39-34,דירה בבית קומות,3,שניה,88.8,930000,,,1970,,7,11084030010,1,38035-39,FALSE,
27/06/2023,27/06/2023 00:00,"גמל 15, באר שבע",גמל 15,38058-1-57,דירה בבית קומות,3,שלישית,54.5,480000,,,1970,,3,11084156910,1,38058-1,FALSE,26% ב 9.3 שנים
27/06/2023,27/06/2023 00:00,"חת""ם סופר 4, באר שבע","חת""ם סופר 4",38104-1-12,דירה בבית קומות,3,שניה,62.7,690000,,,1970,,4,11085084270,1,38104-1,FALSE,11% ב 2.9 שנים
27/06/2023,27/06/2023 00:00,"טבנקין 2, באר שבע",טבנקין 2,38102-1-7,דירה בבית קומות,3,שניה,65.9,715000,,,1980,,3,11085460830,1,38102-1,FALSE,
27/06/2023,27/06/2023 00:00,"אליהו הנביא 2, באר שבע",אליהו הנביא 2,38079-111-231,דירה בבית קומות,1,קומה ‎11‏,33,350000,,,1995,,14,11084567490,1,38079-111,FALSE,
27/06/2023,27/06/2023 00:00,"ירושלים 48, באר שבע",ירושלים 48,38112-11-71,דירה בבית קומות,3,חמישית,64.2,800000,,,1980,,8,11085834330,1,38112-11,FALSE,
27/06/2023,27/06/2023 00:00,"אמציה 8, באר שבע",אמציה 8,38108-71-22,דירה בבית קומות,3,שלישית,61,770000,,,1980,,4,11086501050,1,38108-71,FALSE,16% ב 1.5 שנים
27/06/2023,27/06/2023 00:00,"הערים התואמות 27, באר שבע",הערים התואמות 27,38371-9-6,דירה בבית קומות,4,שניה,88,1090000,,,2001,,6,11087913240,1,38371-9,FALSE,13% ב 8.5 שנים
27/06/2023,27/06/2023 00:00,"בזל 44, באר שבע",בזל 44,38262-9-2,דירה בבית קומות,5,קרקע,84.1,189000,,,1950,,1,11085352290,1,38262-9,FALSE,
27/06/2023,27/06/2023 00:00,,,38490-52-17,,4,רביעית,107,1630000,1,,,,,11164599585,2,38490-52,FALSE,
27/06/2023,27/06/2023 00:00,,,38491-18-22,דירת גן,4,ראשונה,87,1580000,,,2023,,,11086821000,2,38491-18,FALSE,
27/06/2023,27/06/2023 00:00,,,38491-69-23,דירה בבית קומות,3,שביעית,81,1425000,,,2021,,,11085937290,2,38491-69,FALSE,
27/06/2023,27/06/2023 00:00,,,38491-69-32,דירה בבית קומות,5,שניה,124,1729000,,,2021,,,11085424290,2,38491-69,FALSE,
26/06/2023,26/06/2023 00:00,,,38009-50-52,דירה בבית קומות,5,חמישית,125,1750000,,,2023,,,11084350590,2,38009-50,FALSE,
26/06/2023,26/06/2023 00:00,"שיפר יצחק 6, באר שבע",שיפר יצחק 6,38091-25-30,דירה בבית קומות,3,שלישית,51.3,710000,,,1960,,4,11083975650,1,38091-25,FALSE,32% ב 8.5 שנים
26/06/2023,26/06/2023 00:00,"סנהדרין 100, באר שבע",סנהדרין 100,38090-13-44,דירה בבית קומות,3,שניה,45.9,580000,,,1960,,4,11084111640,1,38090-13,FALSE,12% ב 4.2 שנים
26/06/2023,26/06/2023 00:00,"יעלים 93, באר שבע",יעלים 93,38102-124-18,דירה בבית קומות,3.5,ראשונה,66.1,750000,,,1970,,4,11086829190,1,38102-124,FALSE,
26/06/2023,26/06/2023 00:00,"אליהו הנביא 2, באר שבע",אליהו הנביא 2,38079-111-23,דירה בבית קומות,2,קומה ‎2‏,34.5,590000,,,1995,,14,11084399820,1,38079-111,FALSE,63% ב 8 שנים
26/06/2023,26/06/2023 00:00,"שאול המלך 93, באר שבע",שאול המלך 93,38094-6-9,דירה בבית קומות,3,שלישית,62.7,720000,,,1970,,4,11083908240,1,38094-6,TRUE,-4% ב 4.5 שנים
26/06/2023,26/06/2023 00:00,"המשחררים 72, באר שבע",המשחררים 72,38098-9-39,דירה בבית קומות,4,ראשונה,87.3,1080000,,,1970,,3,11085995430,1,38098-9,FALSE,31% ב 2.7 שנים
26/06/2023,26/06/2023 00:00,"אסוולדו ארניה 6, באר שבע",אסוולדו ארניה 6,38093-27-49,דירה בבית קומות,3,ראשונה,47.5,881000,,,1960,,4,11083966740,1,38093-27,FALSE,283% ב 14.6 שנים
26/06/2023,26/06/2023 00:00,,,38363-12-1,קוטג' דו משפחתי,5,ראשונה,160,3800000,,,,,,11084549670,2,38363-12,FALSE,
26/06/2023,26/06/2023 00:00,,,38491-19-1,,3,,87,1580000,1,,,,,11164599640,2,38491-19,FALSE,
26/06/2023,26/06/2023 00:00,,,38491-69-34,דירה בבית קומות,4,שלישית,124,1590000,,,2021,,,11085133320,2,38491-69,FALSE,
25/06/2023,25/06/2023 00:00,"דוד טוביהו 59, באר שבע",דוד טוביהו 59,38035-43-17,דירה בבית קומות,5,שמינית,173,1650000,,,1995,,6,11084093820,1,38035-43,FALSE,
25/06/2023,25/06/2023 00:00,,,38028-112-6,דירה בבית קומות,4,שמינית,102,1245000,,,,,,11085690240,2,38028-112,FALSE,
25/06/2023,25/06/2023 00:00,,,38009-50-53,דירה בבית קומות,5,אחת עשרה,125,1890000,,,2023,,,11084320890,2,38009-50,FALSE,
25/06/2023,25/06/2023 00:00,"רד""ק 16, באר שבע","רד""ק 16",38103-20-32,דירה בבית קומות,4,שמינית,79,815000,,,1980,,8,11084009850,1,38103-20,FALSE,16% ב 2.2 שנים
25/06/2023,25/06/2023 00:00,"דוד פנקס 13, באר שבע",דוד פנקס 13,38105-63-3,דירה בבית קומות,4,קרקע ראשונה,91.4,1500000,,,1980,,,11084396040,1,38105-63,FALSE,
25/06/2023,25/06/2023 00:00,"העלייה 80, באר שבע",העלייה 80,38101-24-8,דירה בבית קומות,3,שניה,64.5,760000,,,1970,,4,11084786550,1,38101-24,FALSE,43% ב 8.9 שנים
25/06/2023,25/06/2023 00:00,"טבריה 1, באר שבע",טבריה 1,38112-22-19,דירה בבית קומות,3,חמישית,64.2,880000,,,1980,,7,11083978710,1,38112-22,FALSE,101% ב 12.5 שנים
25/06/2023,25/06/2023 00:00,"אסוולדו ארניה 7, באר שבע",אסוולדו ארניה 7,38092-44-29,דירה בבית קומות,3,שניה,43.4,910000,,,1960,,4,11083882860,1,38092-44,FALSE,78% ב 11.5 שנים
25/06/2023,25/06/2023 00:00,"שער הגיא 7, באר שבע",שער הגיא 7,38111-95-23,דירה בבית קומות,3,שישית,61.5,900000,,,1992,,8,11086832790,1,38111-95,FALSE,10% ב 0.5 שנים
23/06/2023,23/06/2023 00:00,"רמב""ם 60, באר שבע","רמב""ם 60",38035-39-13,דירה בבית קומות,3,רביעית,88.8,910000,,,1970,,7,11084263110,1,38035-39,FALSE,
23/06/2023,23/06/2023 00:00,"הנרי קנדל 10, באר שבע",הנרי קנדל 10,38035-60-48,דירה בבית קומות,4.5,ארבע עשרה,156,1365000,,,2000,,17,11083799700,1,38035-60,FALSE,
23/06/2023,23/06/2023 00:00,"צבי סגל 32, באר שבע",צבי סגל 32,38158-183-4,קוטג' דו משפחתי,5,ראשונה,135,1870000,,,1980,,1,11083775220,1,38158-183,FALSE,
23/06/2023,23/06/2023 00:00,,,38491-69-37,דירה בבית קומות,4,שישית,115,1509000,,,2021,,,11084837850,2,38491-69,FALSE,
22/06/2023,22/06/2023 00:00,,,38009-53-40,דירה בבית קומות,5,עשירית,125,1741000,,,,,,11084015790,2,38009-53,FALSE,
22/06/2023,22/06/2023 00:00,"הנוטר 33, באר שבע",הנוטר 33,38029-65-2,בית בודד,4,ראשונה,110,1600000,,,1970,,1,11084465790,1,38029-65,FALSE,
22/06/2023,22/06/2023 00:00,,,38068-1-40,דירה בבית קומות,3,שתים עשרה,80,1350000,,,2022,,,11084147100,2,38068-1,FALSE,
22/06/2023,22/06/2023 00:00,"יעקב כהן 12, באר שבע",יעקב כהן 12,38074-157-23,דירה בבית קומות,4,תשיעית,,1840000,,,2012,,11,11084456880,1,38074-157,FALSE,
22/06/2023,22/06/2023 00:00,"מצדה 25, באר שבע",מצדה 25,38075-10-10,דירה בבית קומות,3,ראשונה,58.9,1080000,,,1960,,4,11084655960,1,38075-10,FALSE,16% ב 2 שנים
22/06/2023,22/06/2023 00:00,"מינץ 28, באר שבע",מינץ 28,38101-15-9,דירה בבית קומות,3,שלישית,59.2,750000,,,1970,,5,11084787990,1,38101-15,FALSE,31% ב 2.1 שנים
22/06/2023,22/06/2023 00:00,"יציאת אירופה 15, באר שבע",יציאת אירופה 15,38098-122-2,דירה בבית קומות,3,קרקע,87,1000000,,,1980,,,11083770810,1,38098-122,FALSE,33% ב 3.5 שנים
22/06/2023,22/06/2023 00:00,"דוד הראובני 23, באר שבע",דוד הראובני 23,38174-8-12,דירה בבית קומות,5,קרקע,102,1630000,,,1995,,2,11084785830,1,38174-8,FALSE,48% ב 4.9 שנים
22/06/2023,22/06/2023 00:00,"תל חי 12, באר שבע",תל חי 12,38263-6-1,דירה בבית קומות,2,ראשונה,45,1150000,,,1983,,1,11085664230,1,38263-6,FALSE,
22/06/2023,22/06/2023 00:00,"בודנהיימר 2, באר שבע",בודנהיימר 2,38372-7-11,דירה בבית קומות,4,קרקע,103,1680000,,,2001,,3,11083717350,1,38372-7,FALSE,96% ב 13 שנים
22/06/2023,22/06/2023 00:00,,,38491-69-42,דירה בבית קומות,4,שניה,124,1549000,,,2021,,,11085363540,2,38491-69,FALSE,
21/06/2023,21/06/2023 00:00,"רחה פריאר 9, באר שבע",רחה פריאר 9,38018-52-146,משרד,1,שבע עשרה,80,1000000,,,2019,,8,11083951800,1,38018-52,FALSE,
21/06/2023,21/06/2023 00:00,,,38030-30-42,דירה בבית קומות,3,שביעית,95,1025000,,,,,,11084248890,2,38030-30,FALSE,
21/06/2023,21/06/2023 00:00,"יוחנן הורקנוס 41, באר שבע",יוחנן הורקנוס 41,38073-147-9,דירה בבית קומות,3,ראשונה,44,680000,,,1960,,2,11083802670,1,38073-147,FALSE,0% ב 5 שנים
21/06/2023,21/06/2023 00:00,"בעלי התוספות 28, באר שבע",בעלי התוספות 28,38090-1-18,דירה בבית קומות,3,קרקע,61.1,710000,,,1970,,3,11083828680,1,38090-1,FALSE,
21/06/2023,21/06/2023 00:00,"סנהדרין 27, באר שבע",סנהדרין 27,38082-18-3,דירה בבית קומות,3,שניה,38.8,580000,,,1960,,3,11084182920,1,38082-18,FALSE,
21/06/2023,21/06/2023 00:00,"רבי עקיבא 74, באר שבע",רבי עקיבא 74,38078-75-4,דירה בבית קומות,2,ראשונה,35.1,625000,,,1970,,3,11083921560,1,38078-75,FALSE,243% ב 24.8 שנים
21/06/2023,21/06/2023 00:00,"עין גדי 21, באר שבע",עין גדי 21,38122-2-14,דירה בבית קומות,4,רביעית,92,1170000,,,1992,,9,11083657950,1,38122-2,FALSE,14% ב 4 שנים
21/06/2023,21/06/2023 00:00,"אשר ברש 3, באר שבע",אשר ברש 3,38138-69-5,דירה בבית קומות,4,ראשונה,77.8,880000,,,1994,,8,11083646790,1,38138-69,FALSE,
21/06/2023,21/06/2023 00:00,"אשבל מיכאל 12, באר שבע",אשבל מיכאל 12,38190-4-55,דירה בבית קומות,3.5,שלישית,84,1340000,,,2001,,3,11085341940,1,38190-4,FALSE,19% ב 6.4 שנים
21/06/2023,21/06/2023 00:00,"מקור חיים 9, באר שבע",מקור חיים 9,38187-13-17,דירה בבית קומות,4,שניה,98.2,1480000,,,2008,,5,11083922280,1,38187-13,FALSE,13% ב 6 שנים
21/06/2023,21/06/2023 00:00,"הר בוקר 75, באר שבע",הר בוקר 75,38334-4-1,בית בודד,7,ראשונה,188,2570000,,,1994,,1,11087111340,1,38334-4,FALSE,
21/06/2023,21/06/2023 00:00,"הרב שלמה טנא 22, באר שבע",הרב שלמה טנא 22,38389-19-117,דירה בבית קומות,4,חמש עשרה,104.85,1360000,,,2010,,14,11083835520,1,38389-19,FALSE,24% ב 2.3 שנים
21/06/2023,21/06/2023 00:00,"שרגא אברמסון 12, באר שבע",שרגא אברמסון 12,38374-9-4,דירה בבית קומות,4,ראשונה,78,1175000,,,2002,,5,11083937940,1,38374-9,FALSE,138% ב 22.5 שנים
21/06/2023,21/06/2023 00:00,,,38491-69-52,דירה בבית קומות,5,שניה,124,1739000,,,2021,,,11084734710,2,38491-69,FALSE,
20/06/2023,20/06/2023 00:00,"הגאולים 5, באר שבע",הגאולים 5,38030-136-6,דירה בבית קומות,3,שניה,74,1180000,,,2022,,1,11085008490,1,38030-136,FALSE,
20/06/2023,20/06/2023 00:00,"יוחנן הורקנוס 41, באר שבע",יוחנן הורקנוס 41,38073-147-2,דירה בבית קומות,2.5,קרקע,44,860000,,,1960,,2,11084425650,1,38073-147,FALSE,77% ב 10.5 שנים
20/06/2023,20/06/2023 00:00,"מודיעין 10, באר שבע",מודיעין 10,38085-20-73,דירה בבית קומות,3,קרקע,66,950000,,,1970,,3,11084046930,1,38085-20,FALSE,47% ב 6 שנים
20/06/2023,20/06/2023 00:00,"יצחק שיפר 1, באר שבע",יצחק שיפר 1,38091-16-30,דירה בבית קומות,3,שלישית,46.2,650000,,,1960,,4,11083556250,1,38091-16,FALSE,13% ב 9.1 שנים
20/06/2023,20/06/2023 00:00,"הרב אסף שמחה 43, באר שבע",הרב אסף שמחה 43,38093-53-38,דירה בבית קומות,3,רביעית,50.6,133000,,,1960,,4,11084237820,1,38093-53,FALSE,
20/06/2023,20/06/2023 00:00,"י""ל פרץ 14, באר שבע","י""ל פרץ 14",38138-32-1,קוטג' דו משפחתי,6,ראשונה,164,2560000,,,1994,,1,11083557690,1,38138-32,FALSE,
20/06/2023,20/06/2023 00:00,"אביגדור המאירי 5, באר שבע",אביגדור המאירי 5,38138-93-17,דירה בבית קומות,3,ראשונה,63.6,293000,,,1995,,6,11089148670,1,38138-93,FALSE,
20/06/2023,20/06/2023 00:00,"ח""ן 16, באר שבע","ח""ן 16",38353-10-14,דירה בבית קומות,3,רביעית,68,940000,,,1990,,5,11083918500,1,38353-10,FALSE,
20/06/2023,20/06/2023 00:00,"יוסקה 1, באר שבע",יוסקה 1,38370-8-6,דירה בבית קומות,4,רביעית,103,1640000,,,2016,,4,11087273340,1,38370-8,FALSE,31% ב 7 שנים
20/06/2023,20/06/2023 00:00,,,38491-69-22,,4,שלישית,110,1615000,1,,,,,11164599698,2,38491-69,FALSE,
20/06/2023,20/06/2023 00:00,,,38491-69-61,דירה בבית קומות,3,שישית,81,1329000,,,2021,,,11084651460,2,38491-69,FALSE,
20/06/2023,20/06/2023 00:00,,,38491-8-12,דירה בבית קומות,5,שלישית,131,1790000,,,2023,,,11084034510,2,38491-8,FALSE,
19/06/2023,19/06/2023 00:00,,,38003-149-0,חנות,,ראשונה,845,250000,,,,,,11083907520,2,38003-149,FALSE,55% ב 25.2 שנים
19/06/2023,19/06/2023 00:00,"המעפילים 14, באר שבע",המעפילים 14,38031-15-4,דירה בבית קומות,2,ראשונה,48.93,650000,,,1960,,2,11083846500,1,38031-15,FALSE,8% ב 3.6 שנים
19/06/2023,19/06/2023 00:00,,,38020-48-132,דירה בבית קומות,5,עשרים ואחת,130,1835000,,,2019,,,11160059580,2,38020-48,FALSE,
19/06/2023,19/06/2023 00:00,"מצדה 91, באר שבע",מצדה 91,38021-10-33,דירה בבית קומות,4,רביעית,76,755000,,,1970,,5,11085725880,1,38021-10,FALSE,57% ב 10.2 שנים
19/06/2023,19/06/2023 00:00,"הכנסת 25, באר שבע",הכנסת 25,38082-39-19,דירה בבית קומות,3,שניה,40.5,600000,,,1970,,3,11083611150,1,38082-39,TRUE,-4% ב 2.1 שנים
19/06/2023,19/06/2023 00:00,"הרב עוזיאל 15, באר שבע",הרב עוזיאל 15,38104-38-43,דירה בבית קומות,4,רביעית,84.8,950000,,,1970,,4,11084714550,1,38104-38,FALSE,43% ב 6.5 שנים
19/06/2023,19/06/2023 00:00,"אליהו הנביא 2, באר שבע",אליהו הנביא 2,38079-111-172,דירה בבית קומות,2,קומה ‎9‏,34.5,455000,,,1995,,14,11086113420,1,38079-111,FALSE,279% ב 13.4 שנים
19/06/2023,19/06/2023 00:00,"אברהם אבינו 33, באר שבע",אברהם אבינו 33,38079-16-19,דירה בבית קומות,4,שניה,64.7,700000,,,1970,,3,11085625710,1,38079-16,TRUE,-10% ב 4.8 שנים
19/06/2023,19/06/2023 00:00,"מגידו 20, באר שבע",מגידו 20,38115-72-15,דירה בבית קומות,3,רביעית,59.5,715000,,,1980,,4,11083848120,1,38115-72,FALSE,
19/06/2023,19/06/2023 00:00,"מבצע עובדה 16, באר שבע",מבצע עובדה 16,38094-25-20,דירה בבית קומות,3,רביעית,47.7,700000,,,1970,,4,11083479030,1,38094-25,FALSE,29% ב 4.1 שנים
19/06/2023,19/06/2023 00:00,"שלום אש 19, באר שבע",שלום אש 19,38138-89-23,דירה בבית קומות,4,רביעית,75.5,1000000,,,1995,,6,11083627530,1,38138-89,FALSE,18% ב 4.3 שנים
19/06/2023,19/06/2023 00:00,"חיים לנדאו 14, באר שבע",חיים לנדאו 14,38135-29-20,דירה בבית קומות,3,חמישית,64.6,758000,,,1980,,5,11084603130,1,38135-29,FALSE,12% ב 3.5 שנים
19/06/2023,19/06/2023 00:00,"יוהנה ז'בוטינסקי 38, באר שבע",יוהנה ז'בוטינסקי 38,38191-1-35,דירה בבית קומות,5,חמישית שישית,111,1150000,,,1998,,10,11085264810,1,38191-1,FALSE,200% ב 16.3 שנים
19/06/2023,19/06/2023 00:00,"אברהם אמיר 3, באר שבע",אברהם אמיר 3,38246-42-1,דירה בבית קומות,4,קרקע,91.65,1755000,,,2001,,5,11083620780,1,38246-42,FALSE,197% ב 15.3 שנים
19/06/2023,19/06/2023 00:00,,,38491-69-65,דירה בבית קומות,4,שביעית,124,1569000,,,2021,,,11084613480,2,38491-69,FALSE,
19/06/2023,19/06/2023 00:00,,,38491-5-35,דירה בבית קומות,4,שניה,106,1580000,,,2022,,,11085672420,2,38491-5,FALSE,
18/06/2023,18/06/2023 00:00,"המעפילים 3, באר שבע",המעפילים 3,38030-84-6,דירה בבית קומות,3,שניה,54.45,710000,,,1950,,3,11083516110,1,38030-84,FALSE,6% ב 9 שנים
18/06/2023,18/06/2023 00:00,,,38020-48-119,,5,עשרים ואחת,130,1835000,1,סנטרל פארק,,,,11164595077,2,38020-48,FALSE,
18/06/2023,18/06/2023 00:00,,,38009-51-25,דירה בבית קומות,3,תשיעית,81,1400000,,,2023,,,11083911930,2,38009-51,FALSE,
18/06/2023,18/06/2023 00:00,"יעקב כהן 9, באר שבע",יעקב כהן 9,38074-149-65,דירה בבית קומות,4,רביעית,86,1450000,,,2005,,9,11083543560,1,38074-149,FALSE,152% ב 14 שנים
18/06/2023,18/06/2023 00:00,"סנהדרין 31, באר שבע",סנהדרין 31,38082-17-17,דירה בבית קומות,3,שלישית,42.7,510000,,,1960,,3,11083609710,1,38082-17,FALSE,4% ב 4.5 שנים
18/06/2023,18/06/2023 00:00,"אברהם אבינו 31, באר שבע",אברהם אבינו 31,38079-17-13,דירה בבית קומות,3,ראשונה,58.5,735000,,,1960,,3,11083659390,1,38079-17,FALSE,7% ב 5 שנים
18/06/2023,18/06/2023 00:00,"שמעון בר-גיורא 35, באר שבע",שמעון בר-גיורא 35,38078-16-9,דירה בבית קומות,2,שלישית,27.4,231000,,,1960,,3,11083759740,1,38078-16,FALSE,
18/06/2023,18/06/2023 00:00,"מוריה 26, באר שבע",מוריה 26,38116-15-29,דירה בבית קומות,3,קרקע,49,1050000,,,1970,,3,11086183260,1,38116-15,FALSE,51% ב 5.6 שנים
18/06/2023,18/06/2023 00:00,"מאיר גרוסמן 16, באר שבע",מאיר גרוסמן 16,38146-12-56,דירה בבית קומות,3.5,שלישית,79,1130000,,,2000,,4,11083658670,1,38146-12,FALSE,16% ב 7.5 שנים
18/06/2023,18/06/2023 00:00,"מאיר גרוסמן 6, באר שבע",מאיר גרוסמן 6,38146-11-22,דירה בבית קומות,3,שניה,74,1030000,,,1998,,3,11084337270,1,38146-11,FALSE,90% ב 11 שנים
18/06/2023,18/06/2023 00:00,"מבצע יואב 82, באר שבע",מבצע יואב 82,38108-3-15,דירה בבית קומות,3,רביעית,62.9,800000,,,1970,,4,11083761180,1,38108-3,FALSE,31% ב 1.5 שנים
18/06/2023,18/06/2023 00:00,"פרופ' יהודה ליאו פיקרד 28, באר שבע",פרופ' יהודה ליאו פיקרד 28,38375-6-25,דירה בבית קומות,4,שניה,88,1300000,,,2000,,5,11083217580,1,38375-6,FALSE,44% ב 10.4 שנים
18/06/2023,18/06/2023 00:00,,,38491-69-70,דירה בבית קומות,4,חמישית,124,1559000,,,2021,,,11084597100,2,38491-69,FALSE,
18/06/2023,18/06/2023 00:00,,,38491-8-13,דירה בבית קומות,4,שישית,111,1600000,,,2023,,,11083801950,2,38491-8,FALSE,
18/06/2023,18/06/2023 00:00,,,38491-5-36,דירה בבית קומות,4,חמישית,111,1720000,,,2022,,,11084884470,2,38491-5,FALSE,
17/06/2023,17/06/2023 00:00,"המשחררים 111, באר שבע",המשחררים 111,38116-3-24,דירה בבית קומות,4,שלישית,83.43,915000,,,1970,,3,11083672800,1,38116-3,FALSE,52% ב 9.3 שנים
16/06/2023,16/06/2023 00:00,"תדהר 6, באר שבע",תדהר 6,38009-56-3,דירה בבית קומות,5,שישית,165,1800000,,,2023,,,11085269220,1,38009-56,FALSE,
16/06/2023,16/06/2023 00:00,"גוש עציון 58, באר שבע",גוש עציון 58,38027-34-13,דירה בבית קומות,3,שניה,67,785000,,,1960,,3,11083202820,1,38027-34,FALSE,18% ב 3.8 שנים
16/06/2023,16/06/2023 00:00,"הרב עוזיאל 16, באר שבע",הרב עוזיאל 16,38104-25-2,דירה בבית קומות,3,ראשונה,62,840000,,,1970,,4,11083525740,1,38104-25,FALSE,35% ב 3.7 שנים
16/06/2023,16/06/2023 00:00,"הרב עוזיאל 11, באר שבע",הרב עוזיאל 11,38104-35-5,דירה בבית קומות,3,שניה,62.7,765000,,,1980,,8,11083208670,1,38104-35,FALSE,35% ב 8.4 שנים
16/06/2023,16/06/2023 00:00,"שער הגיא 15, באר שבע",שער הגיא 15,38111-99-8,דירה בבית קומות,4,שניה,95.9,1200000,,,1997,,9,11083743360,1,38111-99,FALSE,
16/06/2023,16/06/2023 00:00,"דב סרן 7, באר שבע",דב סרן 7,38137-23-48,דירה בבית קומות,3.5,עשירית,81.9,1025000,,,1998,,16,11085418440,1,38137-23,FALSE,122% ב 24.8 שנים
16/06/2023,16/06/2023 00:00,"רפאל קלצ'קין 37, באר שבע",רפאל קלצ'קין 37,38379-1-4,דירה בבית קומות,3,ראשונה,66,970000,,,1995,,2,11083894110,1,38379-1,FALSE,
16/06/2023,16/06/2023 00:00,,,38491-69-74,דירה בבית קומות,3,שלישית,110,1324000,,,2021,,,11084255640,2,38491-69,FALSE,
15/06/2023,15/06/2023 00:00,"התקווה 16, באר שבע",התקווה 16,38016-51-221,דירה בבית קומות,5,קומה ‎6‏,114.8,1780000,,,2008,,25,11083196070,1,38016-51,FALSE,96% ב 14 שנים
15/06/2023,15/06/2023 00:00,"הנרי קנדל 4, באר שבע",הנרי קנדל 4,38035-62-16,דירה בבית קומות,5,חמישית,124,1670000,,,2000,,9,11083433580,1,38035-62,FALSE,
15/06/2023,15/06/2023 00:00,"מבצע דני 50, באר שבע",מבצע דני 50,38088-130-3,דירה בבית קומות,7,ראשונה,280,2080000,,,1992,,1,11083192290,1,38088-130,FALSE,
15/06/2023,15/06/2023 00:00,"יצחק רגר 138, באר שבע",יצחק רגר 138,38092-5-22,דירה בבית קומות,4,שלישית,81,1045000,,,1970,,4,11083325220,1,38092-5,FALSE,190% ב 14.2 שנים
15/06/2023,15/06/2023 00:00,"העליה 88, באר שבע",העליה 88,38101-25-24,דירה בבית קומות,3,רביעית,61.2,500000,,,1970,,4,11085587730,1,38101-25,FALSE,237% ב 14.4 שנים
15/06/2023,15/06/2023 00:00,"מוריה 3, באר שבע",מוריה 3,38116-6-27,דירה בבית קומות,4,רביעית,81.1,900000,,,1970,,4,11083263570,1,38116-6,FALSE,14% ב 6.8 שנים
15/06/2023,15/06/2023 00:00,"אסוולדו ארניה 9, באר שבע",אסוולדו ארניה 9,38092-44-44,דירה בבית קומות,3,שלישית,46.5,830000,,,1960,,4,11083310460,1,38092-44,FALSE,3% ב 6.3 שנים
15/06/2023,15/06/2023 00:00,"חי""ל 4, באר שבע","חי""ל 4",38094-11-4,דירה בבית קומות,3,ראשונה,62.7,870000,,,1970,,4,11083546620,1,38094-11,FALSE,61% ב 1.5 שנים
15/06/2023,15/06/2023 00:00,"פיארברג 16, באר שבע",פיארברג 16,38139-32-15,דירה בבית קומות,3,שלישית,69,1100000,,,1998,,5,11083219920,1,38139-32,FALSE,58% ב 9.6 שנים
